"built_work_site_foreign_key","site_data","building_name_pinyin","building_name2_traditional","building_name3_simplified","work_building_identifier","building_name_in_site","building_in_site2_traditional","building_in_site3_simplified","group_batch","number_in_group","number_in_architecture_category_3","building_data","site_name_en","building_name_en","alternate_site_name_pinyin","alternate_site_name_traditional","alternate_site_name_simplified","alternate_building_name_pinyin","building_date","building_start","building_end","decimal_latitude","decimal_longitude","verbatim_latitude","verbatim_longitude","comments_and_field_notes","most_recent_doc","notes","ct_angled_bracket_arm","corner_angled_bracket_arm","ic_angled_bracket_arm","ic_match_ct","number_of_ic_in_central_bay","pupaifang","first_step_touxin","first_step_jixin","cejiao","pizhu_xiaang","qinmian_xiaang","qinmian-pizhu_xiaang","number_of_xiaang","ang-shaped_shuatou","beveled_linggong","chamfered_linggong"
"000001"," 安禅寺 山西省, 普中市，太谷县
Ānchánsì  ZGWWDTJ, Shanxi vol. 3 (xia), p. 762    57 – C 1 (On Anchansi street in Taigu County Seat• Song, Ming dynasties •Provincial Cultural Heritage Site) Date of initial founding unknown. According to an inscription, the complex was rebuilt in the Song dynasty, with repairs made in the Yuan and Ming dynasties as well as in the third year of the Qing Guangxu reign period (1877). The complex occupies 200 square meters. Buildings are oriented to the south, the monastic cloister has been destroyed, all that remains are two axial buildings, the Sutra Repository (Cángjīngdiàn (藏经殿)) and the Main Hall (Zhèngdiàn (正殿)). Of the remaining buildings, the Sutra Repository is a artifact of the Song dynasty; the Main Hall is a Ming dynasty building.  The front façade of the Main Hall is 3 bays in width with a depth of 6 rafters, and has a single eaves, overhanging gable roof, 7 purlin-no gallery style design, 3-step, single ang bracket sets (sancai danang 三踩单昂), with one intercolumnar bracket set in each bay. Translated by Lydia Ohl; modified TM 7/28/10; 9/19/11; Edited by Cole Garrett 9/9/11; ","Cangjingdian","藏經殿","藏经殿","000124","Anchansi_Cangjingdian","安禪寺藏经殿","安禅寺藏经殿",6,360,63,"Ānchánsì  ZZWWDTJ, Shanxi vol. 3 (xia), p. 762    57 – C 1-1 Sutra Repository (Cángjīngdiàn/藏经殿 (Song Dynasty)) Brick podium, front façade of 3 bays, depth of 3 bays, single eaves hip/gable roof, yellow and green glazed tiles with a square center, wide central bay and narrow side bays, central bay is only one half the width of the side bay. Under eave bracket sets are 4 pūzuò with a single huágŏng, a locust head shuătóu, 1 intercolumnar bracket set in every bay, and visible column-top entasis.  Original renovation no longer exists. Translated by Lydia Ohl; modified TM 7/28/10; 9/19/11; Edited by Cole Garrett 9/9/11",,"Sutra Hall",,,,"Cangjingdian","960-1125","0960","1125",37.42453333,112.5473333,"37˚ 25.472 (Garmin)","112˚ 32.840","sutra repository Song, compare to Jidumiao qingong",2010,"ZGWWDTJ  山西 p. 762    57 – C 1  -other parts of the monastary have been destroyed",0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
"000002","白台寺 金至清 山西省，运城市， 新绛县
Băitáisì ZGWWDTJ, vol. 3 (xia), p.1099    126 – C 1, 

(About 200 meters southwest of Gujiao village in Guangma town•Jin and Yuan Dynasties•Provincial Cultural Heritage Site) (untranslated CG)                                                              Also called Pŭhuàsì (普化寺). Called Băitáisì (white seat temple) because legend holds Buddha’s lotus throne to be white. According to stele inscription,had many restorations in the fourtheenth year of Tang Kaiyuan (726)、and between the Jin Dading and Mingchang years, further restored in the first year of Zhizheng  (1355) and the sixth year of Ming Zhengde (1511). Increase in construction in Qing Dynasty. Occupancy area of 4,482 square meters. Facing south, 2 entrance courtyard design, axial buildings include a sāndīfăcánggé (三滴法藏阁)， shìjiādiàn (释迦殿)， and a hòudàdiàn (后大殿)， on either side there is an east shānmén (山门） and a west wing. Within complex interior is preserved a Tang dynasty pagoda, a Song dynasty  jīngchuáng(经幢) stone pillar with Buddhist inscriptions, a Song cloud board from the third year of Xuanhe (1121) , and 18 colored/painted walls. Translated by Lydia Ohl; 
edited by Cole Garrett","Shijiadian","釋迦殿","释迦殿","000125","Baitaisi_Shijiadian","白台寺释迦殿","白台寺释迦殿",6,372,75,"白台寺 金至清 山西省，运城市， 新绛县
Băitáisì ZZWWDTJ, vol. 3 (xia), p.1099    126 – C 1-2 Shìjiādiàn (释迦殿)     Jin Dynasty

Rebuilt in Jin Mingchang years (1190-1194). Stone podium, according to topography and building, front is 0.75 meters tall, back is 0.3 meters tall, front façade of 3 bays, depth of 6 rafters, single eave hip gable roof , main roof ridge、vertical ridge、berm ridge and temple ridge are made of carved brick. Under eave column top bracket set have 4 pūzuò(铺作) and a single xia ang, be careful of inter columnar bracket sets. Internal beam composition of 4 rafters that connect to back with 3 columns, overturned basin shaped column base. Be careful of central bay door, other bays have lattice windows. Hall interior Buddhist altar presents 12 portraits of Buddha, Sakyamuni Buddha in the center, both sides have an Ananda (阿难)、Mahākāśyapa（迦叶）、bodhisattva (菩萨),  under two gables there are 6 arahats, horizontal back wall has a portrait of Weituo (韦陀)，later generations have already changed the shape, their original characteristics have been lost. Translated by Lydia Ohl; revised by Cole Garrett"," ","Śākyamuni Hall",,,,"Shijiadian","1190-1196","1190","1196",35.66366667,111.0694,"35˚ 39.820' (garmin)","111˚ 4.164'","Shijiadian from Jin Mingchang period (1190-1196) see: 中國 文物 地圖集山西分冊, 下, 1099 ","*2010","Axis: c, roof style: h/g, front façade: 31' 3"",3 bays, side: 31' 4"" 3 bays",0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1
"000002",,"Sandifacangge","三滴法藏閣","三滴法藏阁","000126","Baitaisi_Sandifacangdian","白台寺三滴法藏閣","白台寺三滴法藏阁",,,,"白台寺 金至清 山西省，运城市， 新绛县
Băitáisì ZGWWDTJ, vol. 3 (xia), p.1099    126 – C 1-1 Sāndīfăcánggé (三滴法藏阁)      Yuan Dynasty

Established in the Jin dynasty, restoration done in the Yuan dynasty. Building built by tŭyá (土崖), stone podium, 6.5 meters tall, centre opens into a rectangular passageway. Building has 2 floors, a front façade of 3 bays, depth of 6 rafters, triple eave overhanging gable roof, main ridge has open carved brickwork as a ridge decoration. Beam composition of 4 rafters that connect to the front with 3 columns, first floor has a balcony (píngzuò/平座), upper eave has a ring bracket sets all the way around, 5 pūzuò(铺作) single xia ang, 1 set of inter columnar bracket sets in every bay. Second story balcony has 4 shrines with Yaowang (药王) 、attendants， images in the East erdian of Dizang and Yanjun, both are severely damaged."," ","Sandifacang Hall",,,,"Sandi facangdian","1279-1368","1279","1368",35.66345,111.0694,"35° 39.807' (±17ft)","111° 4.164'",,2010,"Axis: c, roof style: o-g, front façade: 36' 5""",,,,,,,,,,,,,,,,
"000002",,"houdadian","後大殿","后大殿","000127","Baitaisi_Houdadian","白台寺后大殿","白台寺后大殿",,,,"白台寺 金至清 山西省，运城市， 新绛县
Băitáisì ZGWWDTJ, vol. 3 (xia), p.1099    126 – C 1-3 Hòudàdiàn (后大殿)    Yuan Dynasty
Built in the eleventh year of Yuan Zhiyuan(1274), stone podium 0.33 meters tall, front façade of 5 bays, depth of  6 rafters, single eave overhanging gable,  carved brick roof ridge. Interior beam composition of 4 rafters that connect to the back with 3 columns, under eave bracket sets have 5 pūzuò （铺作） and a double xia ang, there are no inter columnar bracket sets. Be careful of front eave door, other two bays have lattice windows that later generations have improved，overturned basin style column base. Hall interior has a Buddhist altar, with a statue of Sakyamuni  Buddha sitting in an elevated lotus flower shaped throne, there are Bodhisattva on either side to serve, portraits follow the Tang style. The front of the dàdiàn has a spacious platform, central part of the platform has a Tang dynasty pagoda with statues and streamers. Song dynasty people carved Buddhist inscriptions into each of the four corners pillars. 1 Song dynasty iron cloud stele. Translated by Lydia Ohl; revised by Cole Garrett."," ","back great hall",,,,"Houdadian","1279-1368","1279","1368",35.663933,111.06937,"35° 39.836' (±17ft)","111° 4.162' (±17ft)",,2010,"Axis: c, roof style: o-g, front façade: 60', side: 25' 9""",,,,,,,,,,,,,,,,
"000003",,"zhengdian","正殿","正殿","000128","Baiyugong_zhengdian","白玉宫正殿","白玉宫正殿",6,386,89,"白玉宫 山西省， 陵川县，晋城市
 Báiyùgōng      ZGWWDTJ, Shanxi vol 2 (zhong), 513          23－C 10-1 Zhèngdiàn（正殿）  (Jin)
stone podium, 0.8 meters tall, front facade of 3 bays depth of 4 rafters single eave hip/gable roof. interior beam composition of 3 rafters connecting to front eave with 3 columns, 4 puzuo column top bracket sets and a single xia ang, 1 inter-columnar bracket set in every bay, original door no longer exists.
Translated by Lydia Ohl; edited by Cole Garrett"," ","Main Hall",,,,"Zhengdian ",1212,"1212","1212",35.65815,113.2410667,"35˚ 39.489'","113˚ 14.464'","Main Hall from 1212 see: 中國 文物 地圖集, 中, 513 23 - C 10",2010,"Axis: c, roof style: h/g, front façade: 26' 10"", side: 24' 4""",0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0
"000003",,"Shanmen","山門","山门","000129","Baiyugong_Shanmen","白玉宫山門","白玉宫山門",,,,," ","Mountain Gate",,,,"Shanmen",,,,35.657467,113.2413167,"35° 39.448' (±18ft)","113° 14.479' (±18ft)",,,"Axis: c, roof style: h/g",,,,,,,,,,,,,,,,
"000003",,"Sanxiandian","三仙殿","三仙殿","000130","Baiyugong_Sanxiandian","白玉宫三仙殿","白玉宫三仙殿",,,,," ","Hall of the Three Transcendents",,,,"Sanxiandian",,,,,,,,,,"Axis: c, roof style: o-g, front façade: 28' 1"", side: 25' 11""",,,,,,,,,,,,,,,,
"000003",,"houdian","後殿","后殿","000131","Baiyugong_houdian","白玉宫后殿","白玉宫后殿",,,,," ","back hall",,,,"Houdian",,,,35.65833,113.240967,"35° 39.500' (±23ft)","113° 14.458' (±23ft)",,,"Axis: c, roof style: o-g, front façade: 30' 7""",0,0,1,0,1,1,0,1,1,0,0,1,2,0,1,0
"000004",,"Daxiongbaodian","大雄寶殿","大雄宝殿","000132","Baoguosi_Daxiongbaodian","保国寺大雄宝殿","保国寺大雄宝殿",1,90,43,," ","Mahavira Treasure Hall",,,,"Daxiongbaodian",1013,"1013","1013",29.983,121.516833,"29˚ 58.98' N  (Magellan)","121˚ 31.01' E (Magellan) 121˚ 30' 57.99"" E (google earth)","early 11th cen. Example of style in YZFS; Dated to 1013 in later inscription on stauary platform; Notes: look for 1102 date on 佛座上, Founded E. Han, destroyed 845, rebuilt in 880 and named Baoguosi; 1065 called 精进寺, 净土池 excavated in Southern Song. 3/4/1961 under protection. Some difference between Magellan and google earth Lat/Lon readings: 29˚ 58.98' N  (Magellan) / 29˚ 58' 57.10"" N (google earth 9/2009)and 121˚ 31.01' E (Magellan) / 121˚ 30' 57.99"" E (google earth)-compare to satellite photo",1999,,0,0,0,1,2,0,1,0,1,0,1,0,2,0,0,1
"000005",,"Tianwangdian","天王殿","天王殿","000133","Beijixiangsi_Tianwangdian","北吉祥寺天王殿","北吉祥寺天王殿",4,101,23,," ","Front Hall",,,,"Tianwangdian","960-1125","0960","1125",35.79754167,113.1118472,"35˚ 47' 50.68"" N (google earth-Cui Jinze and fuzzy sat.)","113˚ 06' 42.50"" E","could these xiaang have been recarved?",1998,,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0
"000005",,"zhongdian","中殿","中殿","000134","Beijixiangsi_zhongdian","北吉祥寺中殿","北吉祥寺中殿",4,101,23,," ","Middle Hall",,,,"Zhongdian ","960-1125","0960","1125",35.79782778,113.1118667,"35˚ 47' 51.88"" N (google earth-Cui Jinze and fuzzy sat.)","113˚ 06' 42.67"" E","nidaogong chamfered--did not include",,,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,0
"000006",,"zhengdian","正殿","正殿","000135","Beiyicheng_Yuhuangmiao_zhengdian","北義城玉皇廟正殿","北义城玉皇庙正殿",6,363,66,," ","Main Hall",,,,"Yuhuangmiao",1110,"1110","1110",38.488,112.948133,"35˚ 38.488 N (Garmin)","112˚ 56.888 E",,2009,,,,,,,,,,,,,,,,,
"000007",,"qiandian","前殿","前殿","000136","Bucun_Yuhuangmiao_Qiandian","布村玉皇庙前殿","布村玉皇庙前殿",,,,,,"front hall",,,,"Qiandian","907-960","0907","0960",36.0078,112.9334667,"36˚ 00.468' (Garmin)","112˚ 56.008'","Five Dynasties?",2010,,0,0,0,0,0,0,1,0," ",0,0,0,0,1,1,0
"000007",,"houdian","後殿","后殿","000137","Bucun_Yuhuangmiao_Houdian","布村玉皇庙后殿","布村玉皇庙后殿",,,,,,"back hall",,,,"Houdian","1125-1234","1125","1234",36.00795,112.9334667,"36˚ 00.468' (Garmin)","112˚ 56.008","Jin？",2010,,0,0,0,0,0,1,0,1," ",,,,1,1,0,1
"000008",,"dadian","大殿","大殿","000138","Buersi_dadian","不二寺大殿","不二寺大殿",6,397,100,," ","main hall",,,,"Buersi",,,,38.0510217,112.6602917,"38˚ 03' 06.13"" N (google earth-satellite confirm)","112˚ 39' 37.05"" E",,1998,,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
"000009",,"houdian","後殿","后殿","000139","Changzhi_Zhengjuesi_houdian","長治正覺寺後殿","长治正觉寺后殿",5,228,34,," ","back hall",,,,"Zhengjuesi","960-1125","0960","1125",,,,,,1997,,0,0,0,0,0,1,0,1," ",0,1,0,1,1,0,1
"000010",,"Shanmen","山門","山門","000140","Chengtangmiao_Shanmen","成汤庙山门","成汤庙山门",6,327,30,," ","Mountain Gate",,,,"Shanmen",,,,,,,,"http://www.gutrip.com/html/yuyin/hebei/handan/2009/0313/3901.html","*",,,,,,,,,,,,,,,,,
"000011",,"Mituodian","彌陀殿","弥陀殿","000141","Chongfusi_Mituodian","崇福寺彌陀殿","崇福寺弥陀殿",3,117,65,," ","Amitābha Hall (Mituo Hall)",,,,"Mituodian",1143,"1143","1143",39.31522222,112.432347,"39˚ 18' 54.80"" N (google earth-fuzzy satellite)","112˚ 25' 56.45"" E","celebration of angled bracket arm variety; angled bracket arm in back central bay",1998,,1,1,0,1,1,1,0,1,1,0,0,1,2,1,1,0
"000011",,"Guanyindian","觀音殿","观音殿","000142","Chongfusi_Guanyindian","崇福寺观音殿","崇福寺觀音殿",3,117,65,," ","Avalokitêśvara Hall (Guanyin Hall)",,,,"Guanyindian",1143,"1143","1143",39.31522222,112.432347,"39˚ 18' 54.80"" N (google earth-fuzzy satellite)","112˚ 25' 56.45"" E","celebration of angled bracket arm variety",1998,"GIS for site only",0,0,0,0,2,1,0,1,1,0,0,1,1,1,0,1
"000012",,"zhengdian","正殿","正殿","000143","Chongjiaosi_Zhengdian","崇教寺正殿","崇教寺正殿",,,,,,"main hall",,,,"Zhengdian","978-1125","0978","1125",36.34316667,113.11315,"36˚ 20.590'","113˚ 06.789'","bracketing looks Jin,Main Hall interior depth: 27' 3"", interior height: 22' 8""",2010,,1,0,0,0,0,1,0,1," ",0,1,0,2,1,1,0
"000012",,"Dafodian","大佛殿","大佛殿","000144","Chongjiaosi_Dafodian","崇教寺大佛殿","崇教寺大佛殿",,,,,,"Great Buddha Hall",,,,"Dafodian",978,"0978","0978",36.34316667,113.11315,"N 36° 20.590' (±23ft)","E 113° 6.789' (±23ft)",,,"Axis: c, roof style: flush gable, front façade: 36' 1"", 3 bays",,,,,,,,,,,,,,,,
"000012",,"Ciediewenjie","賜額牒文碣","赐额牒文碣","000145","Chongjiaosi_Ciediewenjie","崇教寺赐额牒文碣","崇教寺赐额牒文碣",,,,,,"Ciediewen_Plaque",,,,"Ciediewenjie ",984,"0984","0984",,,,,,,,,,,,,,,,,,,,,,,
"000012",,"Shanmen","山門","山门","000146","Chongjiaosi_Shanmen","崇教寺山門","崇教寺山門",,,,,,"Mountain Gate",,,,"Shanmen"," ",,,36.3429,113.1132,"N 36° 20.574' (±15ft)","E 113° 6.792' (±15ft)",,,"Axis: c, front façade: 32' 3"", side: 16' (rough measurements)",0,0,0,1,1,1,0,1,1,0,1,0,2,0,1,0
"000012",,"zuoerdian","左耳殿","左耳殿","000147","Chongjiaosi_Zuoerdian","崇教寺左耳殿","崇教寺左耳殿",,,,,,"left ear hall",,,,"Zuoerdian"," ","1644","1912",,,,,"glazed roof tiles on ear halls",,"front façade: 20' 4""",,,,,,,,,,,,,,,,
"000012",,"youerdian","右耳殿","右耳殿","000148","Chongjiaosi_Youerdian","崇教寺右耳殿","崇教寺右耳殿",,,,,,"right ear hall",,,,"Youerdian"," ","1644","1912",,,,,"glazed roof tiles on ear halls",,,,,,,,,,,,,,,,,,
"000013",,"zhongdian","中殿","中殿","000149","Chongmingsi_Zhongdian","崇明寺中殿","崇明寺中殿",5,268,74,," ","middle hall",,,,"Zhongdian ",,,,35.71439722,113.0084611,"35˚ 42' 51.83"" N (google earth-satellite confirm)","113' 00' 30.46"" E",,1998,,0,0,0,0,1,0,1,0," ",1,0,0,2,0,0,1
"000014",,"Qianfodian","千佛殿","千佛殿","000150","Chongqingsi_Qianfodian","崇庆寺千佛殿","崇庆寺千佛殿",4,98,20,," ","l000 Buddhas Hall",,,,"Qianfodian",1016,"1016","1016",35.98058333,112.9598,"35˚58'.835 N (Garmin)","112˚ 57.588"" E ",,"1998, 2010","Axis: c, roof style: h/g, front façade: 40' 11"", side: 40' 4""",0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
"000014",,"Sandashidian","三大士殿","三大士殿","000151","Chongqingsi_Sandashidian","崇庆寺三大士殿","崇庆寺三大士殿",,,,," ","Sandashi Hall",,,,"Sandashidian",1079,"1079","1079",35.98063333,112.9596333,"N 35° 58.838' (±23ft)","E 112° 57.578' (±23ft)",,,"Axis: c, roof style: o-g, front façade: 31' 3"", side: 25' 6""",0,0,0,0,0,0," "," "," ",0,1,0,1,0,1,0
"000014",,"Shidiyanjundian","十帝閻君殿","十帝阎君殿","000152","Chongqingsi_Shidiyanjundian","崇庆寺十帝阎君殿","崇庆寺十帝阎君殿",,,,," ","Ten Kings of Hell Hall",,,,"Shidiyanjundian",,,,,,,,,,,,,,,,,,,,,,,,,,
"000015",,"zhengdian","正殿","正殿","000153","Chunhuasi_Zhengdian","淳化寺正殿","淳化寺正殿",5,236,42,," ","great hall",,,,"Zhengdian",,,,36.3532333,113.5862,"36˚ 21.194'N (Garmin)","113˚ 35.172'",,2010,,0,0,0,0,0,1,0,1," ",0,1,1,1,0,1,0
"000016",,"zhengdian","正殿","正殿","000154","Cixiangsi_Zhengdian","慈相寺正殿","慈相寺正殿",5,239,45,,,"main hall",,,,"Zhengdian","1125-1234","1125","1234",37.23389444,112.2438056,"37˚14' 02.02"" N (fuzzy satellite following 赝能隙 photo)","112˚ 14' 37.72""","main hall jin, pagoda Song, bad photos so data needs confirmation",1997,,0,0,0,1,1,1,0,1,,0,1,0,1,0," "," "
