"built_work_site_primary_key","site_name_pinyin","site_name2_traditional","site_name3_simplified","iri_local_name","modified","dont_use_site_name_zh-Hans","dont_use_site_name_zh-Latn-pinyin","site_name_en","site_main_image","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zn-Hant","province_name_zh-latn-pinyin","province_zn-Hans","province_zn-Hant","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
"000001","Anchansi","安禪寺","安禅寺","Anchansi","2017-04-03T21:42:00-05:00","安禅寺","Anchansi","Anchan Monastery","https://farm5.staticflickr.com/4114/4818773384_95d97c1a77_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","宋至明","Song to Ming","山西省太谷县","山西","山西","Shanxi","山西省","山西省","太谷","县","Taigu","County","8677393","300387198",,,,"太谷县","Taiguxian",,,
"000002","Baitaisi","白臺寺","白台寺","Baitaisi","2017-04-03T21:42:00-05:00","白台寺","Baitaisi","Baitai Monastery","https://farm5.staticflickr.com/4073/4831069771_14fcd97cc0_z.jpg",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvrjpj","金至清","Jin to Qing","山西省新绛县","山西","山西","Shanxi","山西省","山西省","新绛","县","Xinjiang","County","8675152","300387198",,,,"新绛县",,,,
"000003","Baiyugong","白玉宮","白玉宫","Baiyugong","2017-04-03T21:42:00-05:00","白玉宫","Baiyugong","Baiyu Palace",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县","Ling State, Lingchuan County",,,
"000004","Baoguosi","保國寺","保国寺","Baoguosi","2017-04-03T21:42:00-05:00","保国寺","Baoguosi","Baoguo Monastery","https://farm5.staticflickr.com/4608/40280520912_014e34d84c_z.jpg",,,"东汉","Eastern Han","http://n2t.net/ark:/99152/p0fp7wv8644","民国","Republic of China","http://n2t.net/ark:/99152/p0fp7wv6f2v","东汉至民国","Eastern Han to Republic of China","浙江省宁波市","浙江","浙江","Zhejiang","浙江省","浙江省","宁波","市","Ningbo","City","8630826","300387145",,,,"宁波市",,,,
"000005","Beijixiangsi","北吉祥寺","北吉祥寺","Beijixiangsi","2017-04-03T21:42:00-05:00","北吉祥寺","Beijixiangsi","North Jixiang Monastery",,,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋－清","Song to Qing","山西省陵川县","山西","山西","Shanxi","山西省","山西省","陵川","县","Lingchuan","County","8623563","300387198","禮義","镇",,"陵川县禮義",,,,"https://zh.wikipedia.org/zh-hans/北吉祥寺"
"000006","Beiyicheng Yuhuangmiao","北義城玉皇廟","北义城玉皇庙","Beiyicheng_Yuhuangmiao","2017-04-03T21:42:00-05:00","北义城玉皇庙","Beiyicheng Yuhuangmiao","Yuhuang Temple in Beiyicheng","https://farm4.staticflickr.com/3026/3972146865_b5a30fe404_z.jpg",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","宋至清","Song to Qing","山西省泽州县","山西","山西","Shanxi","山西省","山西省","泽州","县",,"County",,,,,,"泽州县",,,,
"000007","Bucun Yuhuangmiao","布村玉皇廟","布村玉皇庙","Bucun_Yuhuangmiao","2017-04-03T21:42:00-05:00","布村玉皇庙","Bucun Yuhuangmiao","Yuhuang Temple in Bucun","https://farm5.staticflickr.com/4103/4831558221_a8ab2f8ed1_z.jpg",,,"五代","Five Dynasties","http://n2t.net/ark:/99152/p0fp7wv5h26","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","五代，金","Five Dynasties to Jin","山西省长治市","山西","山西","Shanxi","山西省","山西省","长治","市","Changzhi","City","8206366","300387198","长子","县","布村","村",,,,
"000008","Buersi","不二寺","不二寺","Buersi","2017-04-03T21:42:00-05:00","不二寺","Buersi","Buer Monastery",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省阳曲县","山西","山西","Shanxi","山西省","山西省","阳曲","县","Yangqu Zhen","County","8675188","300387199",,,,"阳曲县",,,,
"000009","Changzhi Zhengjuesi","長治正覺寺","长治正觉寺","Zhengjuesi","2017-04-03T21:42:00-05:00","正觉寺","Zhengjuesi","Zhengjue Monastery in Changzhi ",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","明","Ming","http://n2t.net/ark:/99152/p0fp7wv2s8c","金至明","Jin to Ming","山西省长治县","山西","山西","Shanxi","山西省","山西省","长治","县",,"County",,,,,,"长治县",,,,
"000010","Chengtangmiao","成湯廟","成汤庙","Chengtangmiao","2017-04-03T21:42:00-05:00","成汤庙山门","Chengtangmiao","Chengtang Temple",,,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金 1164","Jin","河北省邯鄲涉县","河北","河北","Hebei","河北省","河北省","邯鄲","市",,"City",,,"涉","县",,"邯鄲涉县",,,," "
